,IMQYYL,1.30403E+23,1991,Jawa Barat - Kota Depok,Laki,Indonesia,Sangat lancar,Sangat lancar,Sangat lancar,Lancar,dengan ibu,Indonesia
,,,,,,Inggris,Lancar,Lancar,Lancar,Lancar,dengan bapak,Indonesia
,,,,,,,,,,,dengan kakak/adik,Indonesia
,,,,,,,,,,,dengan nenek dan kakek,Indonesia
,,,,,,,,,,,dengan suami/istri (kalau sudah menikah),
,,,,,,,,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Indonesia
,,,,,,,,,,,dengan tetangga,Indonesia
,,,,,,,,,,,dengan pembantu,Indonesia
,,,,,,,,,,,apabila marah,Inggris
,,,,,,,,,,,dalam mimpi,Inggris
,,,,,,,,,,,berhitung,Indonesia
,,,,,,,,,,,kirim sms ke keluarga,Indonesia
,,,,,,,,,,,kirim sms ke teman,Inggris
,,,,,,,,,,,kirim sms ke suami/istri ,
,,,,,,,,,,,dalam jejaring sosial (FB),Inggris
,,,,,,,,,,,berdoa dalam hati,Indonesia
,,,,,,,,,,,berdoa di tempat ibadah,Indonesia
,,,,,,,,,,,di rumah,Indonesia
,,,,,,,,,,,di tempat kerja,Inggris
,,,,,,,,,,,di pasar,Indonesia
,,,,,,,,,,,di warung,Indonesia
,,,,,,,,,,,di bank,Indonesia
,,,,,,,,,,,di kantor pos,Indonesia
,,,,,,,,,,,di SD dengan guru,Indonesia
,,,,,,,,,,,di SD dengan teman sekelas,Indonesia
,,,,,,,,,,,di SMA dengan guru,Indonesia
,,,,,,,,,,,di SMA dengan teman sekelas,Indonesia
,,,,,,,,,,,di kendaraan umum,Indonesia
,,,,,,,,,,,membaca novel/buku cerita,Indonesia
,,,,,,,,,,,membaca koran,Inggris
,,,,,,,,,,,membaca majalah,Inggris
,,,,,,,,,,,mendengar musik,Inggris
,,,,,,,,,,,mendengar radio,Indonesia
,,,,,,,,,,,menonton TV,Indonesia
#26 5Mar UI,XHMQVM,1.30404E+23,1993,Banten - Kota Tangerang,Laki,Bahasa Indonesia,Sangat lancar,Sangat lancar,Sangat lancar,Sangat lancar,dengan ibu,"Bahasa Indonesia, Bahasa Betawi"
,,,,,,Bahasa Betawi,Lancar,Lancar,Lancar,Agak lancar,dengan bapak,Bahasa Indonesia
,,,,,,Bahasa Sunda,Sedikit lancar,Sedikit lancar,Sedikit lancar,Tidak bisa,dengan kakak/adik,Bahasa Indonesia
,,,,,,,,,,,dengan nenek dan kakek,
,,,,,,,,,,,dengan suami/istri (kalau sudah menikah),
,,,,,,,,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,,,,,,,,dengan tetangga,
,,,,,,,,,,,dengan pembantu,
,,,,,,,,,,,apabila marah,
,,,,,,,,,,,dalam mimpi,
,,,,,,,,,,,berhitung,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke keluarga,
,,,,,,,,,,,kirim sms ke teman,
,,,,,,,,,,,kirim sms ke suami/istri ,
,,,,,,,,,,,dalam jejaring sosial (FB),
,,,,,,,,,,,berdoa dalam hati,
,,,,,,,,,,,berdoa di tempat ibadah,
,,,,,,,,,,,di rumah,
,,,,,,,,,,,di tempat kerja,
,,,,,,,,,,,di pasar,
,,,,,,,,,,,di warung,
,,,,,,,,,,,di bank,
,,,,,,,,,,,di kantor pos,
,,,,,,,,,,,di SD dengan guru,
,,,,,,,,,,,di SD dengan teman sekelas,
,,,,,,,,,,,di SMA dengan guru,
,,,,,,,,,,,di SMA dengan teman sekelas,
,,,,,,,,,,,di kendaraan umum,
,,,,,,,,,,,membaca novel/buku cerita,Bahasa Indonesia
,,,,,,,,,,,membaca koran,
,,,,,,,,,,,membaca majalah,
,,,,,,,,,,,mendengar musik,Bahasa Inggris
,,,,,,,,,,,mendengar radio,
,,,,,,,,,,,menonton TV,
