Comments_Page1,Session_token,Person_ID,Year_of_birth,Location_grew_up,Sex,Lived_with_who_when_growing_up,Comments_page5,z_calc_Button_label_locations_list,z_calc_Count_other_people,kinships::z_calc_Beliau_label,kinships::z_calc_Where_label,kinships::z_calc_With_who_label,other_people::Ethnicity,other_people::Kinship_type,other_people::Language_used_at_home_now,other_people::Language_used_at_home_when_young,other_people::Language_used_at_home_at_workplace,other_people::Language_used_at_home_with_neighbours,other_people::Language_used_at_home_with_partner,other_people::Language_used_at_home_with_relatives,other_people::Last_level_of_education,other_people::Location_grewup,other_people::Location_of_home,other_people::Profession,other_people::Religion,other_people::Year_of_birth,other_peoples_languages_FirstLanguage::Language_name,other_peoples_languages_OtherLanguages::Language_name
,IMQYYL,1.30403E+23,1991,Jawa Barat - Kota Depok,Laki,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,,Bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
#26 5Mar UI,XHMQVM,1.30404E+23,1993,Banten - Kota Tangerang,Laki,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Betawi,Ibu,,,,,,,SMA,DKI Jakarta,Banten - Kota Tangerang,ibu rumah tangga,Islam,1953,Bahasa Betawi,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,,,,,,,sarjana,Jawa Timur,Banten - Kota Tangerang,pegawai swasta,Islam,1957,Bahasa Jawa,Bahasa Indonesia
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Ibu dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari bapak,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
#25 5Mar UI,OQHPQE,1.30404E+23,1995,Jawa Timur - Kota Surabaya,Perempuan,Orang tua,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,S1,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Jawa Barat - Kota Bekasi,ibu rumah tangga,Kristen (Katolik),1968,Bahasa Indonesia,Bahasa Jawa
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,S1,Jawa Tengah - Kota Surakarta,Jawa Barat - Kota Bekasi,Manager HRD,Kristen (Katolik),1965,Bahasa Indonesia,Bahasa Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari ibu,,,,,,,, ,Daerah Istimewa Yogyakarta - Kota Yogyakarta,observer,Kristen (Katolik),1951,Bahasa Indonesia,Bahasa Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,,Bapak dari ibu,,,,,,,, , ,,,,Bahasa Jawa,Bahasa Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Ibu dari bapak,Bahasa Jawa,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,, ,Jawa Tengah - Kota Surakarta,,Kristen (Katolik),1920,Bahasa Jawa,Bahasa Jawa
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Jawa,Bapak dari bapak,,,,,,,,Jawa Tengah - Kota Surakarta, ,guru,Kristen (Katolik),,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan orang tua,,Istri/Suami,,,,,,,, , ,,,,,
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja/sekolah,dengan orang tua,,Anak Anda,,,,,,,, , ,,,,,
#24 5Mar UI,SSXYPN,1.30404E+23,1993,DKI Jakarta,Laki,Keluarga,,Pilih lokasi dari propinsi ini saja,8,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Minang,Ibu,"Bahasa Indonesia, Bahasa Minang",Bahasa Minang,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Minang",Bahasa Minang,S1,Sumatera Barat - Kota Padang,DKI Jakarta,lecturer,Islam,1969,Bahasa Minang,Bahasa Minang
,,,,,,,,,,bahasa / dialek yang dia gunakan...,tempat kerja,dengan pasangannya,Minang,Bapak,"Bahasa Indonesia, Bahasa Minang",Bahasa Minang,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Minang",Bahasa Minang,S2,Sumatera Barat - Kota Padang,DKI Jakarta,employment,Islam,1968,Bahasa Minang,Bahasa Minang
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Minang,Ibu dari ibu,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,S1,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,guru,Islam,,Bahasa Minang,Bahasa Minang
,,,,,,,,,,bahasa / dialek yang beliau gunakan...,tempat kerja,dengan pasangannya,Minang,Bapak dari ibu,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,S1,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,PNS,Islam,,Bahasa Minang,Bahasa Portugis
