survey_location,session,birth_year,home_location,sex,caretaker,visit_frequency,relative_type,relative_curr_home_lang,relative_past_home_lang,relative_work_lang,relative_neighbor_lang,relative_partner_lang,relative_family_lang,relative_ethnicity,relative_education,relative_past_home,relative_curr_home,relative_profession,relative_religion,relative_birth_year,relative_first_lang,relative_other_langs
,IMQYYL,1991,Jawa Barat - Kota Depok,Laki,Orang tua,,Ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#26 5Mar UI,XHMQVM,1993,Banten - Kota Tangerang,Laki,Orang tua,lebih dari 24,Ibu,,,,,,,Betawi,SMA,DKI Jakarta,Banten - Kota Tangerang,ibu rumah tangga,Islam,1953,Bahasa Betawi,Bahasa Indonesia
,,,,,,,Bapak,,,,,,,Jawa,sarjana,Jawa Timur,Banten - Kota Tangerang,pegawai swasta,Islam,1957,Bahasa Jawa,Bahasa Indonesia
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#25 5Mar UI,OQHPQE,1995,Jawa Timur - Kota Surabaya,Perempuan,Orang tua,12-24,Ibu,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Jawa,S1,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Jawa Barat - Kota Bekasi,ibu rumah tangga,Kristen (Katolik),1968,Bahasa Indonesia,Bahasa Jawa
,,,,,,,Bapak,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Jawa,S1,Jawa Tengah - Kota Surakarta,Jawa Barat - Kota Bekasi,Manager HRD,Kristen (Katolik),1965,Bahasa Indonesia,Bahasa Jawa
,,,,,,,Ibu dari ibu,,,,,,,Jawa,, ,Daerah Istimewa Yogyakarta - Kota Yogyakarta,observer,Kristen (Katolik),1951,Bahasa Indonesia,Bahasa Jawa
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,Bahasa Jawa,Bahasa Jawa
,,,,,,,Ibu dari bapak,Bahasa Jawa,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,, ,Jawa Tengah - Kota Surakarta,,Kristen (Katolik),1920,Bahasa Jawa,Bahasa Jawa
,,,,,,,Bapak dari bapak,,,,,,,Jawa,,Jawa Tengah - Kota Surakarta, ,guru,Kristen (Katolik),,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
#24 5Mar UI,SSXYPN,1993,DKI Jakarta,Laki,Keluarga,lebih dari 24,Ibu,"Bahasa Indonesia, Bahasa Minang",Bahasa Minang,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Minang",Bahasa Minang,Minang,S1,Sumatera Barat - Kota Padang,DKI Jakarta,lecturer,Islam,1969,Bahasa Minang,Bahasa Minang
