session,birth_year,home_location,sex,caretaker,visit_frequency
IMQYYL,1991,Jawa Barat - Kota Depok,Laki,Orang tua,
XHMQVM,1993,Banten - Kota Tangerang,Laki,Orang tua,lebih dari 24
OQHPQE,1995,Jawa Timur - Kota Surabaya,Perempuan,Orang tua,12-24
SSXYPN,1993,DKI Jakarta,Laki,Keluarga,lebih dari 24
IGGAXC,1965,DKI Jakarta,Perempuan,Orang tua,1-2
LMLLDP,1986,DKI Jakarta,Perempuan,Orang tua,12-24
MHTLSE,1989,DKI Jakarta - Kota Administrasi Jakarta Selatan,Laki,,3-5
UDIFDH,1971,Jawa Timur - Kabupaten Tulungagung,Laki,Keluarga,
JUVFUB,1989,Jawa Barat - Kota Bogor,Perempuan,Orang tua,12-24
XSQXFC,1989,DKI Jakarta - Kota Administrasi Jakarta Timur,Laki,Orang tua,lebih dari 24
RSJUQA,1990,DKI Jakarta - Kota Administrasi Jakarta Pusat,Perempuan,Orang tua,12-24
ELVBUR,1990,DKI Jakarta - Kota Administrasi Jakarta Pusat,Perempuan,Orang tua,6-12
VKXUTL,1991,Jawa Barat - Kota Depok,Perempuan,Orang tua,12-24
NJFWXB,1994,DKI Jakarta,Laki,Orang tua,0
PKRAQJ,1991,Jawa Barat - Kota Depok,Laki,Orang tua,6-12
TYQIWD,1992,Jawa Tengah - Kota Semarang,Laki,Orang tua,1-2
FHIWYK,1984,Sulawesi Selatan - Kota Makassar,Laki,Orang tua,
SWFEDT,1984,Sulawesi Selatan - Kota Makassar,Laki,Orang tua,3-5
LCOEOP,1972,#NAME?,Perempuan,"Orang tua (Bengkulu)Sendiri (Klg, Bandung)",
MPNGOZ,1968,Sumatera Barat - Kota Padang,Perempuan,Orang tua,12-24
YSVVHS,1964,Sumatera Utara - Kabupaten Mandailing Natal,Laki,Orang tua,1-2
KTXAPZ,1986,Jawa Barat - Kota Bekasi,Laki,Ibu,lebih dari 24
URPLCK,1970,DKI Jakarta,Laki,Orang tua,3-5
WXOJJO,1974,DKI Jakarta - Kota Administrasi Jakarta Timur,Perempuan,Orang tua,12-24
USZMFP,1972,Banten - Kota Tangerang,Perempuan,Orang tua,3-5
ULRVRU,1985,Jambi - Kota Jambi,Perempuan,Orang tua,3-5
WDCPKT,42, ,Perempuan,Orang tua,
QNKUEZ,34, ,Perempuan,Orang tua,
NFZLNF,27, ,Perempuan,Orang tua,
JEYOCX,30, ,Perempuan,Orang tua,
JTDHGU,51, ,Perempuan,Orang tua,
SRATZR,1976,Jawa Barat - Kabupaten Bandung,Perempuan,,
RCOAEG,55, ,Perempuan,Orang tua,
UZFNOY,1976,Jawa Barat - Kabupaten Bandung,Perempuan,Orang tua,12-24
BCUYLZ,23, ,Perempuan,Orang tua,
VEDUDK,29, ,Perempuan,Orang tua,
GRBUMM,51, ,Perempuan,Orang tua,
ZBHIEX,33, ,Perempuan,orang tua,
UJXDTZ,30, ,Laki,Orang tua,
