session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs
IMQYYL,1991,Jawa Barat - Kota Depok,Laki,Orang tua,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
XHMQVM,1993,Banten - Kota Tangerang,Laki,Orang tua,lebih dari 24,,,,,,,Betawi,SMA,DKI Jakarta,Banten - Kota Tangerang,ibu rumah tangga,Islam,1953,Bahasa Betawi,Bahasa Indonesia,,,,,,,Jawa,sarjana,Jawa Timur,Banten - Kota Tangerang,pegawai swasta,Islam,1957,Bahasa Jawa,Bahasa Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
OQHPQE,1995,Jawa Timur - Kota Surabaya,Perempuan,Orang tua,12-24,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Jawa,S1,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Jawa Barat - Kota Bekasi,ibu rumah tangga,Kristen (Katolik),1968,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Jawa,S1,Jawa Tengah - Kota Surakarta,Jawa Barat - Kota Bekasi,Manager HRD,Kristen (Katolik),1965,Bahasa Indonesia,Bahasa Jawa,,,,,,,Jawa,, ,Daerah Istimewa Yogyakarta - Kota Yogyakarta,observer,Kristen (Katolik),1951,Bahasa Indonesia,Bahasa Jawa,,,,,,,,, , ,,,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,, ,Jawa Tengah - Kota Surakarta,,Kristen (Katolik),1920,Bahasa Jawa,Bahasa Jawa,,,,,,,Jawa,,Jawa Tengah - Kota Surakarta, ,guru,Kristen (Katolik),,,
SSXYPN,1993,DKI Jakarta,Laki,Keluarga,lebih dari 24,"Bahasa Indonesia, Bahasa Minang",Bahasa Minang,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Minang",Bahasa Minang,Minang,S1,Sumatera Barat - Kota Padang,DKI Jakarta,lecturer,Islam,1969,Bahasa Minang,Bahasa Minang,"Bahasa Indonesia, Bahasa Minang",Bahasa Minang,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Minang",Bahasa Minang,Minang,S2,Sumatera Barat - Kota Padang,DKI Jakarta,employment,Islam,1968,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Minang,S1,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,guru,Islam,,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Minang,S1,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,PNS,Islam,,Bahasa Minang,Bahasa Portugis,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Minang,SMA,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,guru,Islam,,Bahasa Minang,,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Bahasa Minang,Portuguese,S1,Sumatera Barat - Kota Padang,Sumatera Barat - Kota Padang,wartawan,Islam,,Bahasa Portugis,
IGGAXC,1965,DKI Jakarta,Perempuan,Orang tua,1-2,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",Sunda,Diploma,Jawa Barat - Kabupaten Cianjur,DKI Jakarta,ibu rumah tangga,Islam,1939,Bahasa Sunda,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Inggris",Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Sunda",Sunda,S1,DKI Jakarta,DKI Jakarta,pegawai negeri,Islam,1936,Bahasa Sunda,Bahasa Indonesia,,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Banten,Jawa Barat - Kabupaten Cianjur,ibu rumah tangga,Islam,,Bahasa Sunda,Bahasa Indonesia,,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,Jawa Barat - Kabupaten Cianjur,Jawa Barat - Kabupaten Cianjur,pegawai negeri,Islam,,Bahasa Sunda,Bahasa Indonesia,,Bahasa Sunda,,Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,"Jawa Barat - Kabupaten Karawang, Klari","Jawa Barat - Kabupaten Karawang, Klari",ibu rumah tangga,Islam,,Bahasa Sunda,Bahasa Indonesia,,Bahasa Sunda,"Bahasa Indonesia, Bahasa Sunda",Bahasa Sunda,Bahasa Sunda,Bahasa Sunda,Sunda,,"Jawa Barat - Kabupaten Karawang, Klari","Jawa Barat - Kabupaten Karawang, Klari",pegawai negeri,Islam,,Bahasa Sunda,Bahasa Indonesia
LMLLDP,1986,DKI Jakarta,Perempuan,Orang tua,12-24,"Bahasa Jawa, Bahasa Betawi",Bahasa Jawa,"Bahasa Jawa, Bahasa Indonesia",Bahasa Indonesia,Bahasa Betawi,Bahasa Jawa,Jawa,Magister,Lampung - Kota Metro,DKI Jakarta,guru,Islam,1955,Bahasa Jawa,Bahasa Lampung,Bahasa Indonesia,Bahasa Batak,"Bahasa Indonesia, Bahasa jawa, Bahasa Hokian","Bahasa Jawa, Bahasa Indonesia",Bahasa Betawi,"Bahasa Batak, Bahasa Jawa",Batak,Magister,Sumatera Utara - Kota Medan,DKI Jakarta,Lawyer,Islam,1945,"Bahasa Batak, Bahasa Toba","Bahasa Jawa, Bahasa Hokian, Bahasa Minang",Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Tengah - Kabupaten Banyumas,Lampung,Guru,Islam,1930,Bahasa Jawa Tengah,Jawa Ngapak,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,,Jawa Timur - Kabupaten Tulungagung,Lampung,petani,Islam,1920,Bahasa Jawa Timur,Bahasa Jawa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
MHTLSE,1989,DKI Jakarta - Kota Administrasi Jakarta Selatan,Laki,,3-5,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,jawa,s1,Jawa Timur - Kabupaten Tulungagung,DKI Jakarta - Kota Administrasi Jakarta Selatan,pns,Islam,1953,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,sunda,s2,Jawa Barat - Kabupaten Bogor,DKI Jakarta - Kota Administrasi Jakarta Selatan,pns,Islam,1953,indonesia,sunda,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
UDIFDH,1971,Jawa Timur - Kabupaten Tulungagung,Laki,Keluarga,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
JUVFUB,1989,Jawa Barat - Kota Bogor,Perempuan,Orang tua,12-24,Bahasa Indonesia,"Bahasa Sunda, Bahasa Jawa",Bahasa Indonesia,"Bahasa Indonesia, Bahasa Sunda","Bahasa Indonesia, Bahasa Bugis","Bahasa Indonesia, Bahasa Jawa, Bahasa Sunda",Jawa,D3,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bogor,PNS,Islam,1956,Bahasa Indonesia,Bahasa Jawa,Bahasa Indonesia,Bahasa Bugis,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Bugis",Bugis,SMA,DKI Jakarta,Bali,wiraswasta,Islam,1953,Bahasa Indonesia,Bahasa Bugis,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Jawa,,Jawa Barat - Kota Bandung,Jawa Barat - Kota Bandung,wiraswasta,Islam,1920,Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,"Bahasa Indonesia, Bahasa Jawa",Jawa,,Jawa Tengah - Kota Surakarta,Jawa Barat - Kota Bandung,Tentara,Islam,1920,Bahasa Jawa,Bahasa Indonesia,Bahasa Bugis,Bahasa Makassar,,"Bahasa Indonesia, Bahasa Bugis",Bahasa Bugis,"Bahasa Indonesia, Bahasa Bugis",Makassar,,Sulawesi Selatan - Kabupaten Soppeng,Sulawesi Selatan - Kabupaten Soppeng,,Islam,,Bahasa Makassar,Bahasa Indonesia,Bahasa Bugis,Bahasa Bugis,,"Bahasa Indonesia, Bahasa Bugis",Bahasa Bugis,"Bahasa Indonesia, Bahasa Bugis",Bugis,,Sulawesi Selatan - Kabupaten Soppeng,Sulawesi Selatan - Kabupaten Soppeng,,Islam,,Bahasa Bugis,Bahasa Indonesia
XSQXFC,1989,DKI Jakarta - Kota Administrasi Jakarta Timur,Laki,Orang tua,lebih dari 24,"Bahasa Indonesia, Bahasa Jawa, Bahasa Manado",,"Bahasa Indonesia, Bahasa Jawa","Bahasa Indonesia, Bahasa Jawa",Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa, Bahasa Manado",Jawa,SMA,Daerah Istimewa Yogyakarta - Kota Yogyakarta,DKI Jakarta,,Kristen (Katolik),1960,"Bahasa Indonesia, Bahasa Jawa",Bahasa Inggris,"Bahasa Indonesia, Bahasa Manado",,Bahasa Indonesia,Bahasa Indonesia,Bahasa Indonesia,"Bahasa Indonesia, Bahasa Jawa, Bahasa Manado",Manado,S1,#NAME?,DKI Jakarta,,Kristen (Katolik),1950,"Bahasa Indonesia, Bahasa Manado",Bahasa Inggris,Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,, ,Daerah Istimewa Yogyakarta - Kota Yogyakarta,guru,Kristen (Protestan),1930,,"Bahasa Indonesia, Bahasa Jawa",Bahasa Jawa,Bahasa Jawa,Bahasa Indonesia,Bahasa Jawa,Bahasa Jawa,Bahasa Jawa,Jawa,, ,Daerah Istimewa Yogyakarta - Kota Yogyakarta,guru,Kristen (Protestan),1920,,"Bahasa Indonesia, Bahasa Jawa",Bahasa Manado,Bahasa Manado,Bahasa Indonesia,Bahasa Indonesia,Bahasa Manado,Bahasa Manado,Manado,keperawatan, ,DKI Jakarta,perawat,Kristen (Katolik),1930,,"Bahasa Indonesia, Bahasa Manado",Bahasa Manado,Bahasa Manado,Bahasa Indonesia,Bahasa Indonesia,Bahasa Manado,Bahasa Manado,Manado,kemiliteran, ,DKI Jakarta,polisi,Kristen (Katolik),1920,,"Bahasa Indonesia, Bahasa Manado"
