	speaker	question	answer
0	ikkkra	menguasai  orang tua anda itu penting	2
1	ikkkra	menguasai  daerah asal (setempat) anda itu penting	2
2	ikkkra	menguasai  daerah asal (setempat) anda itu penting	2
3	ikkkra	anak-anak anda perlu menguasai  pertama anda	2
4	ikkkra	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	0
5	ikkkra	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	-1
6	ikkkra	berbicara dalam  daerah anda itu kuno	-2
7	ikkkra	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	2
8	ikkkra	menguasai  indonesia resmi bagi anda itu penting	1
9	ikkkra	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	0
10	ikkkra	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	1
11	ikkkra	menguasai  inggris bagi anda itu penting	1
12	ikkkra	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	1
13	ikkkra	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	1
14	ikkkra	menguasai  asing selain  inggris itu penting	2
15	rlqhzp	menguasai  orang tua anda itu penting	2
16	rlqhzp	menguasai  orang tua anda itu penting	2
17	rlqhzp	menguasai  daerah asal (setempat) anda itu penting	2
18	rlqhzp	anak-anak anda perlu menguasai  pertama anda	2
19	rlqhzp	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
20	rlqhzp	bila seseorang tidak lancar berbicara dalam  daerah anda, lebih baik tidak menggunakannya	1
21	rlqhzp	berbicara dalam  daerah anda itu kuno	-2
22	rlqhzp	kalau mau menjadi bagian dari suku anda, seseorang dari suku anda perlu menguasai  tersebut	1
23	rlqhzp	menguasai  indonesia resmi bagi anda itu penting	2
24	rlqhzp	kalau mau berhasil di tempat kerja, seseorang perlu menguasai  indonesia resmi	1
25	rlqhzp	kalau mau melanjutkan pendidikan di sekolah, seseorang perlu menguasai  indonesia resmi	2
26	rlqhzp	menguasai  inggris bagi anda itu penting	1
27	rlqhzp	kalau mau hidup yang lebih maju dan sukses di masa yang akan datang, seseorang perlu menguasai  inggris	0
28	rlqhzp	kalau mau memahami dunia yang lebih maju, luas dan global, seseorang perlu menguasai  inggris	0
29	rlqhzp	menguasai  asing selain  inggris itu penting	1
30	niscsp	menguasai  orang tua anda itu penting	2
31	niscsp	menguasai  daerah asal (setempat) anda itu penting	2
32	niscsp	anak-anak anda perlu menguasai  pertama anda	1
33	niscsp	berbicara dalam  daerah anda di depan orang yang tidak mengerti  tersebut tidak sopan.	1
