	speaker	domain	language
12090	ikkkra	dengan ibu	krama
12091	ikkkra	dengan ibu	jawa madya
12092	ikkkra	dengan bapak	krama
12093	ikkkra	dengan bapak	jawa madya
12094	ikkkra	dengan kakak/adik	madya
12095	ikkkra	dengan nenek dan kakek	krama
12096	ikkkra	dengan nenek dan kakek	jawa madya
12098	ikkkra	dengan sanak saudara (tante, om, sepupu, dll)	krama
12099	ikkkra	dengan sanak saudara (tante, om, sepupu, dll)	jawa madya
12100	ikkkra	dengan tetangga	krama
12101	ikkkra	dengan tetangga	jawa madya
12103	ikkkra	apabila marah	jawa ngoko
12104	ikkkra	dalam mimpi	jawa ngoko
12105	ikkkra	dalam mimpi	jawa madya
12106	ikkkra	berhitung	jawa ngoko
12107	ikkkra	kirim sms ke keluarga	krama
12108	ikkkra	kirim sms ke keluarga	jawa madya
12109	ikkkra	kirim sms ke teman	madya
12111	ikkkra	dalam jejaring sosial (fb)	indonesia
12112	ikkkra	berdoa dalam hati	indonesia
12113	ikkkra	berdoa dalam hati	madya
12114	ikkkra	berdoa dalam hati	krama
12115	ikkkra	berdoa di tempat ibadah	arab
12116	ikkkra	di rumah	krama
12117	ikkkra	di rumah	ngoko
12118	ikkkra	di rumah	madya
12119	ikkkra	di tempat kerja	indonesia
12120	ikkkra	di pasar	krama
12121	ikkkra	di pasar	jawa madya
12122	ikkkra	di warung	jawa ngoko
12123	ikkkra	di bank	indonesia
12124	ikkkra	di kantor pos	indonesia
12125	ikkkra	di sd dengan guru	indonesia
12126	ikkkra	di sd dengan teman sekelas	jawa ngoko
12127	ikkkra	di sma dengan guru	indonesia
12128	ikkkra	di sma dengan teman sekelas	jawa ngoko
12129	ikkkra	di kendaraan umum	madya
12130	ikkkra	membaca novel/buku cerita	indonesia
12131	ikkkra	membaca koran	indonesia
12132	ikkkra	membaca majalah	indonesia
12133	ikkkra	mendengar musik	indonesia
12134	ikkkra	mendengar radio	indonesia
12135	ikkkra	menonton tv	indonesia
12136	rlqhzp	dengan ibu	jawa
12137	rlqhzp	dengan bapak	jawa
12138	rlqhzp	dengan kakak/adik	jawa
12139	rlqhzp	dengan nenek dan kakek	jawa
12141	rlqhzp	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
12142	rlqhzp	dengan sanak saudara (tante, om, sepupu, dll)	jawa
12143	rlqhzp	dengan tetangga	jawa
12145	rlqhzp	apabila marah	jawa
12146	rlqhzp	dalam mimpi	jawa
12147	rlqhzp	berhitung	jawa
12148	rlqhzp	kirim sms ke keluarga	jawa
12149	rlqhzp	kirim sms ke teman	indonesia
12150	rlqhzp	kirim sms ke teman	jawa
12152	rlqhzp	dalam jejaring sosial (fb)	indonesia
12153	rlqhzp	dalam jejaring sosial (fb)	jawa
12154	rlqhzp	berdoa dalam hati	jawa
12155	rlqhzp	berdoa di tempat ibadah	jawa
12156	rlqhzp	di rumah	jawa
12158	rlqhzp	di pasar	jawa
12159	rlqhzp	di warung	jawa
12160	rlqhzp	di bank	indonesia
12161	rlqhzp	di kantor pos	indonesia
12162	rlqhzp	di sd dengan guru	jawa
12163	rlqhzp	di sd dengan teman sekelas	jawa
12164	rlqhzp	di sma dengan guru	jawa
12165	rlqhzp	di sma dengan teman sekelas	jawa
12166	rlqhzp	di kendaraan umum	jawa
12167	rlqhzp	membaca novel/buku cerita	indonesia
12168	rlqhzp	membaca koran	indonesia
12169	rlqhzp	membaca majalah	indonesia
12170	rlqhzp	mendengar musik	indonesia
12171	rlqhzp	mendengar musik	jawa
12172	rlqhzp	mendengar radio	indonesia
12173	rlqhzp	mendengar radio	jawa
12174	rlqhzp	menonton tv	indonesia
12175	rlqhzp	menonton tv	jawa
12176	niscsp	dengan ibu	jawa krama
12177	niscsp	dengan ibu	ngoko
12178	niscsp	dengan bapak	jawa krama
12179	niscsp	dengan bapak	ngoko
12180	niscsp	dengan kakak/adik	jawa krama
12181	niscsp	dengan kakak/adik	ngoko
12182	niscsp	dengan nenek dan kakek	jawa krama
12183	niscsp	dengan nenek dan kakek	ngoko
12185	niscsp	dengan sanak saudara (tante, om, sepupu, dll)	jawa krama
12186	niscsp	dengan sanak saudara (tante, om, sepupu, dll)	ngoko
12187	niscsp	dengan tetangga	jawa krama
12188	niscsp	dengan tetangga	ngoko
12190	niscsp	apabila marah	indonesia
12191	niscsp	apabila marah	ngoko
12192	niscsp	dalam mimpi	indonesia
12193	niscsp	dalam mimpi	jawa
12194	niscsp	berhitung	indonesia
12195	niscsp	berhitung	jawa
12196	niscsp	kirim sms ke keluarga	jawa krama
12197	niscsp	kirim sms ke keluarga	ngoko
12198	niscsp	kirim sms ke teman	indonesia
12199	niscsp	kirim sms ke teman	ngoko
12201	niscsp	dalam jejaring sosial (fb)	indonesia
12202	niscsp	dalam jejaring sosial (fb)	jawa
12203	niscsp	dalam jejaring sosial (fb)	inggris
12204	niscsp	berdoa dalam hati	indonesia
12205	niscsp	berdoa dalam hati	jawa
12206	niscsp	berdoa di tempat ibadah	indonesia
12207	niscsp	berdoa di tempat ibadah	jawa
12208	niscsp	di rumah	jawa
12210	niscsp	di pasar	jawa
12211	niscsp	di warung	jawa
12212	niscsp	di bank	indonesia
12213	niscsp	di kantor pos	indonesia
12214	niscsp	di sd dengan guru	jawa krama
12215	niscsp	di sd dengan teman sekelas	jawa ngoko
12216	niscsp	di sma dengan guru	jawa krama
12217	niscsp	di sma dengan guru	indonesia
12218	niscsp	di sma dengan teman sekelas	jawa
12219	niscsp	di kendaraan umum	jawa
12220	niscsp	membaca novel/buku cerita	indonesia
12221	niscsp	membaca novel/buku cerita	jawa
12222	niscsp	membaca koran	indonesia
12223	niscsp	membaca majalah	indonesia
12224	niscsp	membaca majalah	jawa
12225	niscsp	mendengar musik	arab
12226	niscsp	mendengar musik	jawa
12227	niscsp	mendengar musik	inggris
12228	niscsp	mendengar musik	indonesia
12229	niscsp	mendengar radio	indonesia
12230	niscsp	mendengar radio	jawa
12231	niscsp	menonton tv	indonesia
12232	niscsp	menonton tv	jawa
12233	oyltse	dengan ibu	krama inggil
12234	oyltse	dengan bapak	krama inggil
12235	oyltse	dengan kakak/adik	ngoko
12236	oyltse	dengan nenek dan kakek	krama inggil
12238	oyltse	dengan sanak saudara (tante, om, sepupu, dll)	jawa
12239	oyltse	dengan tetangga	jawa
12241	oyltse	apabila marah	ngoko
12242	oyltse	dalam mimpi	jawa
12243	oyltse	berhitung	indonesia
12244	oyltse	kirim sms ke keluarga	jawa
12245	oyltse	kirim sms ke teman	indonesia
12247	oyltse	dalam jejaring sosial (fb)	indonesia
12248	oyltse	berdoa dalam hati	indonesia
12249	oyltse	berdoa di tempat ibadah	indonesia
12250	oyltse	di rumah	jawa
12252	oyltse	di pasar	krama inggil
12253	oyltse	di warung	jawa
12254	oyltse	di bank	indonesia
12255	oyltse	di kantor pos	indonesia
12256	oyltse	di sd dengan guru	indonesia
12257	oyltse	di sd dengan teman sekelas	jawa
12258	oyltse	di sma dengan guru	indonesia
12259	oyltse	di sma dengan guru	jawa
12260	oyltse	di sma dengan teman sekelas	jawa
12261	oyltse	di kendaraan umum	jawa
12262	oyltse	membaca novel/buku cerita	indonesia
12263	oyltse	membaca koran	indonesia
12264	oyltse	membaca majalah	indonesia
12265	oyltse	mendengar musik	indonesia
12266	oyltse	mendengar radio	indonesia
12267	oyltse	menonton tv	jawa
12268	eerwkx	dengan ibu	jawa ngoko
12269	eerwkx	dengan bapak	jawa ngoko
12270	eerwkx	dengan kakak/adik	jawa ngoko
12271	eerwkx	dengan nenek dan kakek	jawa ngoko
12273	eerwkx	dengan sanak saudara (tante, om, sepupu, dll)	jawa krama
12274	eerwkx	dengan tetangga	jawa krama
12276	eerwkx	apabila marah	jawa ngoko
12277	eerwkx	dalam mimpi	jawa
12278	eerwkx	berhitung	jawa ngoko
12279	eerwkx	kirim sms ke keluarga	jawa ngoko
12280	eerwkx	kirim sms ke teman	jawa ngoko
12282	eerwkx	dalam jejaring sosial (fb)	indonesia
12283	eerwkx	berdoa dalam hati	indonesia
12284	eerwkx	berdoa di tempat ibadah	arab
12285	eerwkx	berdoa di tempat ibadah	indonesia
12286	eerwkx	di rumah	jawa ngoko
12288	eerwkx	di pasar	jawa krama
12289	eerwkx	di warung	jawa krama
12290	eerwkx	di bank	indonesia
12291	eerwkx	di kantor pos	indonesia
12292	eerwkx	di sd dengan guru	jawa krama
12293	eerwkx	di sd dengan teman sekelas	jawa ngoko
12294	eerwkx	di sma dengan guru	indonesia
12295	eerwkx	di sma dengan teman sekelas	indonesia
12296	eerwkx	di kendaraan umum	jawa krama
12297	eerwkx	membaca novel/buku cerita	indonesia
12298	eerwkx	membaca koran	indonesia
12299	eerwkx	membaca majalah	indonesia
12300	eerwkx	mendengar musik	indonesia
12301	eerwkx	mendengar radio	indonesia
12302	eerwkx	menonton tv	indonesia
12303	skiouu	dengan ibu	jawa krama madya
12304	skiouu	dengan bapak	jawa krama madya
12305	skiouu	dengan kakak/adik	ngoko
12306	skiouu	dengan nenek dan kakek	jawa krama inggil
12308	skiouu	dengan sanak saudara (tante, om, sepupu, dll)	jawa krama madya
12309	skiouu	dengan tetangga	jawa krama inggil
12311	skiouu	apabila marah	ngoko
12312	skiouu	dalam mimpi	jawa
12313	skiouu	berhitung	indonesia
12314	skiouu	kirim sms ke keluarga	ngoko
12315	skiouu	kirim sms ke teman	ngoko
12317	skiouu	dalam jejaring sosial (fb)	indonesia
12318	skiouu	dalam jejaring sosial (fb)	jawa
12319	skiouu	berdoa dalam hati	indonesia
12320	skiouu	berdoa di tempat ibadah	arab
12321	skiouu	di rumah	jawa ngoko alus
12322	skiouu	di tempat kerja	indonesia
12323	skiouu	di pasar	jawa krama madya
12324	skiouu	di warung	jawa krama madya
12325	skiouu	di bank	indonesia
