session,birth_year,home_location,sex,domain,domain_lang
IMQYYL,1991,Jawa Barat - Kota Depok,Laki,dengan ibu,Indonesia
,,,,dengan bapak,Indonesia
,,,,dengan kakak/adik,Indonesia
,,,,dengan nenek dan kakek,Indonesia
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Indonesia
,,,,dengan tetangga,Indonesia
,,,,dengan pembantu,Indonesia
,,,,apabila marah,Inggris
,,,,dalam mimpi,Inggris
,,,,berhitung,Indonesia
,,,,kirim sms ke keluarga,Indonesia
,,,,kirim sms ke teman,Inggris
,,,,kirim sms ke suami/istri ,
,,,,dalam jejaring sosial (FB),Inggris
,,,,berdoa dalam hati,Indonesia
,,,,berdoa di tempat ibadah,Indonesia
,,,,di rumah,Indonesia
,,,,di tempat kerja,Inggris
,,,,di pasar,Indonesia
,,,,di warung,Indonesia
,,,,di bank,Indonesia
,,,,di kantor pos,Indonesia
,,,,di SD dengan guru,Indonesia
,,,,di SD dengan teman sekelas,Indonesia
,,,,di SMA dengan guru,Indonesia
,,,,di SMA dengan teman sekelas,Indonesia
,,,,di kendaraan umum,Indonesia
,,,,membaca novel/buku cerita,Indonesia
,,,,membaca koran,Inggris
,,,,membaca majalah,Inggris
,,,,mendengar musik,Inggris
,,,,mendengar radio,Indonesia
,,,,menonton TV,Indonesia
XHMQVM,1993,Banten - Kota Tangerang,Laki,dengan ibu,"Bahasa Indonesia, Bahasa Betawi"
,,,,dengan bapak,Bahasa Indonesia
,,,,dengan kakak/adik,Bahasa Indonesia
,,,,dengan nenek dan kakek,
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,dengan tetangga,
,,,,dengan pembantu,
,,,,apabila marah,
,,,,dalam mimpi,
,,,,berhitung,Bahasa Indonesia
,,,,kirim sms ke keluarga,
,,,,kirim sms ke teman,
,,,,kirim sms ke suami/istri ,
,,,,dalam jejaring sosial (FB),
,,,,berdoa dalam hati,
,,,,berdoa di tempat ibadah,
,,,,di rumah,
,,,,di tempat kerja,
,,,,di pasar,
,,,,di warung,
,,,,di bank,
,,,,di kantor pos,
,,,,di SD dengan guru,
,,,,di SD dengan teman sekelas,
,,,,di SMA dengan guru,
,,,,di SMA dengan teman sekelas,
,,,,di kendaraan umum,
,,,,membaca novel/buku cerita,Bahasa Indonesia
,,,,membaca koran,
,,,,membaca majalah,
,,,,mendengar musik,Bahasa Inggris
,,,,mendengar radio,
,,,,menonton TV,
OQHPQE,1995,Jawa Timur - Kota Surabaya,Perempuan,dengan ibu,Bahasa Jawa
,,,,dengan bapak,Bahasa Jawa
,,,,dengan kakak/adik,Bahasa Indonesia
,,,,dengan nenek dan kakek,Bahasa Jawa
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,dengan tetangga,Bahasa Indonesia
,,,,dengan pembantu,Bahasa Indonesia
,,,,apabila marah,"Bahasa Indonesia, Bahasa Jawa, Bahasa Inggris"
,,,,dalam mimpi,Bahasa Indonesia
,,,,berhitung,Bahasa Indonesia
,,,,kirim sms ke keluarga,Bahasa Indonesia
,,,,kirim sms ke teman,Bahasa Indonesia
,,,,kirim sms ke suami/istri ,
,,,,dalam jejaring sosial (FB),
,,,,berdoa dalam hati,Bahasa Indonesia
,,,,berdoa di tempat ibadah,Bahasa Indonesia
,,,,di rumah,Bahasa Jawa
,,,,di tempat kerja,
,,,,di pasar,Bahasa Indonesia
,,,,di warung,Bahasa Indonesia
,,,,di bank,Bahasa Indonesia
,,,,di kantor pos,Bahasa Indonesia
,,,,di SD dengan guru,"Bahasa Indonesia, Bahasa Jawa"
,,,,di SD dengan teman sekelas,"Bahasa Indonesia, Bahasa Jawa"
,,,,di SMA dengan guru,Bahasa Indonesia
,,,,di SMA dengan teman sekelas,Bahasa Indonesia
,,,,di kendaraan umum,Bahasa Indonesia
,,,,membaca novel/buku cerita,"Bahasa Indonesia, Bahasa Inggris"
,,,,membaca koran,"Bahasa Indonesia, Bahasa Inggris"
,,,,membaca majalah,Bahasa Indonesia
,,,,mendengar musik,"Bahasa Indonesia, Bahasa Inggris"
,,,,mendengar radio,"Bahasa Indonesia, Bahasa Inggris"
,,,,menonton TV,"Bahasa Indonesia, Bahasa Inggris"
SSXYPN,1993,DKI Jakarta,Laki,dengan ibu,Bahasa Indonesia
,,,,dengan bapak,Bahasa Indonesia
,,,,dengan kakak/adik,Bahasa Indonesia
,,,,dengan nenek dan kakek,"Bahasa Indonesia, Bahasa Minang"
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,dengan tetangga,Bahasa Indonesia
,,,,dengan pembantu,Bahasa Indonesia
,,,,apabila marah,Bahasa Indonesia
,,,,dalam mimpi,Bahasa Indonesia
,,,,berhitung,Bahasa Indonesia
,,,,kirim sms ke keluarga,Bahasa Indonesia
,,,,kirim sms ke teman,Bahasa Indonesia
,,,,kirim sms ke suami/istri ,
,,,,dalam jejaring sosial (FB),"Bahasa Indonesia, Bahasa Inggris"
,,,,berdoa dalam hati,Bahasa Indonesia
,,,,berdoa di tempat ibadah,Bahasa Indonesia
,,,,di rumah,Bahasa Indonesia
,,,,di tempat kerja,Bahasa Indonesia
,,,,di pasar,Bahasa Indonesia
,,,,di warung,Bahasa Indonesia
,,,,di bank,Bahasa Indonesia
,,,,di kantor pos,Bahasa Indonesia
,,,,di SD dengan guru,Bahasa Indonesia
,,,,di SD dengan teman sekelas,Bahasa Indonesia
,,,,di SMA dengan guru,Bahasa Indonesia
,,,,di SMA dengan teman sekelas,Bahasa Indonesia
,,,,di kendaraan umum,Bahasa Indonesia
,,,,membaca novel/buku cerita,Bahasa Indonesia
,,,,membaca koran,Bahasa Indonesia
,,,,membaca majalah,Bahasa Indonesia
,,,,mendengar musik,Bahasa Indonesia
,,,,mendengar radio,Bahasa Indonesia
,,,,menonton TV,Bahasa Indonesia
IGGAXC,1965,DKI Jakarta,Perempuan,dengan ibu,"Bahasa Indonesia, Bahasa Sunda"
,,,,dengan bapak,"Bahasa Indonesia, Bahasa Sunda"
,,,,dengan kakak/adik,"Bahasa Indonesia, Bahasa Inggris"
,,,,dengan nenek dan kakek,"Bahasa Indonesia, Bahasa Sunda"
,,,,dengan suami/istri (kalau sudah menikah),Bahasa Indonesia
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,dengan tetangga,Bahasa Indonesia
,,,,dengan pembantu,Bahasa Indonesia
,,,,apabila marah,Bahasa Indonesia
,,,,dalam mimpi,Bahasa Indonesia
,,,,berhitung,Bahasa Indonesia
,,,,kirim sms ke keluarga,Bahasa Indonesia
,,,,kirim sms ke teman,"Bahasa Indonesia, Bahasa Inggris"
,,,,kirim sms ke suami/istri ,Bahasa Indonesia
,,,,dalam jejaring sosial (FB),"Bahasa Indonesia, Bahasa Inggris"
,,,,berdoa dalam hati,Bahasa Indonesia
,,,,berdoa di tempat ibadah,Bahasa Indonesia
,,,,di rumah,"Bahasa Indonesia, Bahasa Sunda, Bahasa Inggris"
,,,,di tempat kerja,"Bahasa Indonesia, Bahasa Inggris"
,,,,di pasar,Bahasa Indonesia
,,,,di warung,Bahasa Indonesia
,,,,di bank,Bahasa Indonesia
,,,,di kantor pos,Bahasa Indonesia
,,,,di SD dengan guru,Bahasa Indonesia
,,,,di SD dengan teman sekelas,Bahasa Indonesia
,,,,di SMA dengan guru,Bahasa Indonesia
,,,,di SMA dengan teman sekelas,Bahasa Indonesia
,,,,di kendaraan umum,Bahasa Indonesia
,,,,membaca novel/buku cerita,"Bahasa Indonesia, Bahasa Inggris"
,,,,membaca koran,"Bahasa Indonesia, Bahasa Inggris"
,,,,membaca majalah,"Bahasa Indonesia, Bahasa Inggris"
,,,,mendengar musik,"Bahasa Indonesia, Bahasa Inggris"
,,,,mendengar radio,"Bahasa Indonesia, Bahasa Inggris"
,,,,menonton TV,"Bahasa Indonesia, Bahasa Inggris"
LMLLDP,1986,DKI Jakarta,Perempuan,dengan ibu,"Bahasa Jawa, Bahasa Indonesia"
,,,,dengan bapak,Bahasa Indonesia
,,,,dengan kakak/adik,Bahasa Betawi
,,,,dengan nenek dan kakek,Bahasa Jawa
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,dengan tetangga,Bahasa Indonesia
,,,,dengan pembantu,Bahasa Indonesia
,,,,apabila marah,Bahasa Betawi
,,,,dalam mimpi,
,,,,berhitung,Bahasa Indonesia
,,,,kirim sms ke keluarga,Bahasa Indonesia
,,,,kirim sms ke teman,Okem
,,,,kirim sms ke suami/istri ,Bahasa gaul
,,,,dalam jejaring sosial (FB),Bahasa banci
,,,,berdoa dalam hati,"Bahasa Indonesia, Bahasa Arab"
,,,,berdoa di tempat ibadah,"Bahasa Indonesia, Bahasa Arab"
,,,,di rumah,"Bahasa Jawa, Bahasa Betawi, Bahasa gaul"
,,,,di tempat kerja,"Bahasa Indonesia, Bahasa gaul"
,,,,di pasar,tergantung pasar dimana
,,,,di warung,depends
,,,,di bank,Bahasa Indonesia
,,,,di kantor pos,Bahasa Indonesia
,,,,di SD dengan guru,Bahasa Indonesia
,,,,di SD dengan teman sekelas,Bahasa Betawi
,,,,di SMA dengan guru,Bahasa Indonesia
,,,,di SMA dengan teman sekelas,Bahasa Indonesia
,,,,di kendaraan umum,Bahasa Indonesia
,,,,membaca novel/buku cerita,Bahasa Indonesia
,,,,membaca koran,Bahasa Indonesia
,,,,membaca majalah,Bahasa Indonesia
,,,,mendengar musik,Bahasa Indonesia
,,,,mendengar radio,Bahasa Indonesia
,,,,menonton TV,Bahasa Indonesia
MHTLSE,1989,DKI Jakarta - Kota Administrasi Jakarta Selatan,Laki,dengan ibu,indonesia
,,,,dengan bapak,indonesia
,,,,dengan kakak/adik,indonesia
