session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs,dengan_ibu_lang,dengan_bapak_lang,dengan_kakak_adik_lang,dengan_nenek_dan_kakek_lang,dengan_suami_istri_lang,dengan_sanak_saudara_lang,dengan_tetangga_lang,dengan_pembantu_lang,apabila_marah_lang,dalam_mimpi_lang,berhitung_lang,kirim_sms_ke_keluarga_lang,kirim_sms_ke_teman_lang,kirim_sms_ke_suami_istri_lang,dalam_jejaring_sosial_lang,berdoa_dalam_hati_lang,berdoa_di_tempat_ibadah_lang,di_rumah_lang,di_tempat_kerja_lang,di_pasar_lang,di_warung_lang,di_bank_lang,di_kantor_pos_lang,di_sd_dengan_guru_lang,di_sd_dengan_teman_sekelas_lang,di_sma_dengan_guru_lang,di_sma_dengan_teman_sekelas_lang,di_kendaraan_umum_lang,membaca_novel_lang,membaca_koran_lang,membaca_majalah_lang,mendengar_musik_lang,mendengar_radio_lang,menonton_tv_lang
imqyyl,1991,jawa barat - kota depok,laki,orang tua,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,indonesia,,indonesia,indonesia,indonesia,inggris,inggris,indonesia,indonesia,inggris,,inggris,indonesia,indonesia,indonesia,inggris,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,inggris,inggris,inggris,indonesia,indonesia
xhmqvm,1993,banten - kota tangerang,laki,orang tua,lebih dari 24,,,,,,,betawi,sma,dki jakarta,banten - kota tangerang,ibu rumah tangga,islam,1953,betawi,indonesia,,,,,,,jawa,sarjana,jawa timur,banten - kota tangerang,pegawai swasta,islam,1957,jawa,indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,"indonesia, betawi",indonesia,indonesia,,,indonesia,,,,,indonesia,,,,,,,,,,,,,,,,,,indonesia,,,inggris,,
oqhpqe,1995,jawa timur - kota surabaya,perempuan,orang tua,12-24,jawa,jawa,indonesia,indonesia,jawa,jawa,jawa,s1,daerah istimewa yogyakarta - kota yogyakarta,jawa barat - kota bekasi,ibu rumah tangga,kristen (katolik),1968,indonesia,jawa,jawa,jawa,indonesia,indonesia,jawa,jawa,jawa,s1,jawa tengah - kota surakarta,jawa barat - kota bekasi,manager hrd,kristen (katolik),1965,indonesia,jawa,,,,,,,jawa,, ,daerah istimewa yogyakarta - kota yogyakarta,observer,kristen (katolik),1951,indonesia,jawa,,,,,,,,, , ,,,,jawa,jawa,jawa,jawa,,jawa,jawa,jawa,jawa,, ,jawa tengah - kota surakarta,,kristen (katolik),1920,jawa,jawa,,,,,,,jawa,,jawa tengah - kota surakarta, ,guru,kristen (katolik),,,,jawa,jawa,indonesia,jawa,,indonesia,indonesia,indonesia,"indonesia, jawa, inggris",indonesia,indonesia,indonesia,indonesia,,,indonesia,indonesia,jawa,,indonesia,indonesia,indonesia,indonesia,"indonesia, jawa","indonesia, jawa",indonesia,indonesia,indonesia,"indonesia, inggris","indonesia, inggris",indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris"
ssxypn,1993,dki jakarta,laki,keluarga,lebih dari 24,"indonesia, minang",minang,indonesia,indonesia,"indonesia, minang",minang,minang,s1,sumatera barat - kota padang,dki jakarta,lecturer,islam,1969,minang,minang,"indonesia, minang",minang,indonesia,indonesia,"indonesia, minang",minang,minang,s2,sumatera barat - kota padang,dki jakarta,employment,islam,1968,minang,minang,minang,minang,minang,minang,minang,minang,minang,s1,sumatera barat - kota padang,sumatera barat - kota padang,guru,islam,,minang,minang,minang,minang,minang,minang,minang,minang,minang,s1,sumatera barat - kota padang,sumatera barat - kota padang,pns,islam,,minang,portugis,minang,minang,minang,minang,minang,minang,minang,sma,sumatera barat - kota padang,sumatera barat - kota padang,guru,islam,,minang,,minang,minang,minang,minang,minang,minang,portuguese,s1,sumatera barat - kota padang,sumatera barat - kota padang,wartawan,islam,,portugis,,indonesia,indonesia,indonesia,"indonesia, minang",,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,,"indonesia, inggris",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
iggaxc,1965,dki jakarta,perempuan,orang tua,1-2,"indonesia, sunda",sunda,indonesia,indonesia,"indonesia, sunda","indonesia, sunda",sunda,diploma,jawa barat - kabupaten cianjur,dki jakarta,ibu rumah tangga,islam,1939,sunda,indonesia,"indonesia, sunda","indonesia, sunda","indonesia, inggris",indonesia,"indonesia, sunda","indonesia, sunda",sunda,s1,dki jakarta,dki jakarta,pegawai negeri,islam,1936,sunda,indonesia,,sunda,,sunda,sunda,sunda,sunda,,banten,jawa barat - kabupaten cianjur,ibu rumah tangga,islam,,sunda,indonesia,,sunda,"indonesia, sunda",sunda,sunda,sunda,sunda,,jawa barat - kabupaten cianjur,jawa barat - kabupaten cianjur,pegawai negeri,islam,,sunda,indonesia,,sunda,,sunda,sunda,sunda,sunda,,"jawa barat - kabupaten karawang, klari","jawa barat - kabupaten karawang, klari",ibu rumah tangga,islam,,sunda,indonesia,,sunda,"indonesia, sunda",sunda,sunda,sunda,sunda,,"jawa barat - kabupaten karawang, klari","jawa barat - kabupaten karawang, klari",pegawai negeri,islam,,sunda,indonesia,"indonesia, sunda","indonesia, sunda","indonesia, inggris","indonesia, sunda",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris",indonesia,"indonesia, inggris",indonesia,indonesia,"indonesia, sunda, inggris","indonesia, inggris",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris"
lmlldp,1986,dki jakarta,perempuan,orang tua,12-24,"jawa, betawi",jawa,"jawa, indonesia",indonesia,betawi,jawa,jawa,magister,lampung - kota metro,dki jakarta,guru,islam,1955,jawa,lampung,indonesia,batak,"indonesia, jawa, hokian","jawa, indonesia",betawi,"batak, jawa",batak,magister,sumatera utara - kota medan,dki jakarta,lawyer,islam,1945,"batak, toba","jawa, hokian, minang",jawa,jawa,jawa,jawa,jawa,jawa,jawa,,jawa tengah - kabupaten banyumas,lampung,guru,islam,1930,jawa tengah,jawa ngapak,jawa,jawa,jawa,jawa,jawa,jawa,jawa,,jawa timur - kabupaten tulungagung,lampung,petani,islam,1920,jawa timur,jawa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,"jawa, indonesia",indonesia,betawi,jawa,,indonesia,indonesia,indonesia,betawi,,indonesia,indonesia,okem,gaul,banci,"indonesia, arab","indonesia, arab","jawa, betawi, gaul","indonesia, gaul",tergantung pasar dimana,depends,indonesia,indonesia,indonesia,betawi,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
mhtlse,1989,dki jakarta - kota administrasi jakarta selatan,laki,,3-5,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,jawa,s1,jawa timur - kabupaten tulungagung,dki jakarta - kota administrasi jakarta selatan,pns,islam,1953,indonesia,jawa,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,sunda,s2,jawa barat - kabupaten bogor,dki jakarta - kota administrasi jakarta selatan,pns,islam,1953,indonesia,sunda,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia
udifdh,1971,jawa timur - kabupaten tulungagung,laki,keluarga,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,jawa,jawa,jawa,jawa,jawa,jawa,jawa,jawa,jawa,"jawa, indonesia",jawa,"jawa, indonesia","jawa, indonesia",jawa,indonesia,"jawa, indonesia","jawa, indonesia","jawa, indonesia",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,jawa,indonesia,jawa,indonesia,"indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris",indonesia,"indonesia, inggris"
juvfub,1989,jawa barat - kota bogor,perempuan,orang tua,12-24,indonesia,"sunda, jawa",indonesia,"indonesia, sunda","indonesia, bugis","indonesia, jawa, sunda",jawa,d3,jawa barat - kota bandung,jawa barat - kota bogor,pns,islam,1956,indonesia,jawa,indonesia,bugis,indonesia,indonesia,indonesia,"indonesia, bugis",bugis,sma,dki jakarta,bali,wiraswasta,islam,1953,indonesia,bugis,"indonesia, jawa",jawa,indonesia,"indonesia, jawa",jawa,"indonesia, jawa",jawa,,jawa barat - kota bandung,jawa barat - kota bandung,wiraswasta,islam,1920,jawa,indonesia,"indonesia, jawa",jawa,indonesia,"indonesia, jawa",jawa,"indonesia, jawa",jawa,,jawa tengah - kota surakarta,jawa barat - kota bandung,tentara,islam,1920,jawa,indonesia,bugis,makassar,,"indonesia, bugis",bugis,"indonesia, bugis",makassar,,sulawesi selatan - kabupaten soppeng,sulawesi selatan - kabupaten soppeng,,islam,,makassar,indonesia,bugis,bugis,,"indonesia, bugis",bugis,"indonesia, bugis",bugis,,sulawesi selatan - kabupaten soppeng,sulawesi selatan - kabupaten soppeng,,islam,,bugis,indonesia,"indonesia, sunda, inggris",indonesia,"indonesia, sunda, inggris",indonesia,,indonesia,indonesia,indonesia,"inggris, slank",indonesia,indonesia,"indonesia, inggris","indonesia, inggris, slank",,"indonesia, inggris",indonesia,indonesia,"indonesia, sunda, inggris","indonesia, inggris","indonesia, sunda",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"mampu baca, tapi saya nggak berkomuniklasi dengan buku","indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris","indonesia, inggris"
xsqxfc,1989,dki jakarta - kota administrasi jakarta timur,laki,orang tua,lebih dari 24,"indonesia, jawa, manado",,"indonesia, jawa","indonesia, jawa",indonesia,"indonesia, jawa, manado",jawa,sma,daerah istimewa yogyakarta - kota yogyakarta,dki jakarta,,kristen (katolik),1960,"indonesia, jawa",inggris,"indonesia, manado",,indonesia,indonesia,indonesia,"indonesia, jawa, manado",manado,s1,#name?,dki jakarta,,kristen (katolik),1950,"indonesia, manado",inggris,jawa,jawa,indonesia,jawa,jawa,jawa,jawa,, ,daerah istimewa yogyakarta - kota yogyakarta,guru,kristen (protestan),1930,,"indonesia, jawa",jawa,jawa,indonesia,jawa,jawa,jawa,jawa,, ,daerah istimewa yogyakarta - kota yogyakarta,guru,kristen (protestan),1920,,"indonesia, jawa",manado,manado,indonesia,indonesia,manado,manado,manado,keperawatan, ,dki jakarta,perawat,kristen (katolik),1930,,"indonesia, manado",manado,manado,indonesia,indonesia,manado,manado,manado,kemiliteran, ,dki jakarta,polisi,kristen (katolik),1920,,"indonesia, manado","indonesia, jawa, inggris","indonesia, manado",indonesia,indonesia,,indonesia,indonesia,,indonesia,macam-macam,indonesia,indonesia singkatan,indonesia singkatan,,indonesia,indonesia,indonesia,"indonesia, jawa, manado, bahsa inggris","indonesia, jawa, inggris","indonesia, jawa",indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,"indonesia, inggris","indonesia, jawa, inggris, melayu","indonesia, inggris","indonesia, inggris"
